Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
4,0.75mm (29.53mils),NPTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Mechanical
1,2.00mm (78.74mils),NPTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Mechanical
Total 5,,,,,
